Memory  Disk  CPU\n
3.12% 77% 0.32%
3.12% 77% 0.32%
3.12% 77% 0.29%
3.12% 77% 0.29%
3.11% 77% 0.29%
3.11% 77% 0.29%
3.12% 77% 0.27%
3.11% 77% 0.27%
3.11% 77% 0.27%
3.11% 77% 0.27%
3.12% 77% 0.27%
3.12% 77% 0.25%
3.12% 77% 0.25%
3.12% 77% 0.25%
3.12% 77% 0.25%
3.12% 77% 0.23%
3.12% 77% 0.23%
3.12% 77% 0.23%
3.12% 77% 0.23%
3.12% 77% 0.21%
3.12% 77% 0.21%
3.12% 77% 0.21%
3.12% 77% 0.21%
3.12% 77% 0.21%
3.13% 77% 0.27%
3.13% 77% 0.27%
3.13% 77% 0.27%
3.13% 77% 0.27%
3.12% 77% 0.25%
3.12% 77% 0.25%
3.12% 77% 0.25%
3.13% 77% 0.25%
3.14% 77% 0.23%
3.12% 77% 0.23%
3.12% 77% 0.23%
3.12% 77% 0.23%
3.12% 77% 0.21%
3.12% 77% 0.21%
3.12% 77% 0.21%
3.12% 77% 0.21%
3.12% 77% 0.21%
3.13% 77% 0.35%
3.12% 77% 0.35%
3.13% 77% 0.35%
3.13% 77% 0.35%
3.13% 77% 0.33%
3.13% 77% 0.33%
3.12% 77% 0.33%
3.13% 77% 0.33%
3.13% 77% 0.30%
3.13% 77% 0.30%
3.13% 77% 0.30%
3.13% 77% 0.30%
3.13% 77% 0.30%
3.14% 77% 0.27%
3.12% 77% 0.27%
3.12% 77% 0.27%
3.12% 77% 0.27%
3.12% 77% 0.25%
3.12% 77% 0.25%
3.12% 77% 0.25%
3.12% 77% 0.25%
3.12% 77% 0.23%
3.13% 77% 0.23%
3.12% 77% 0.23%
3.13% 77% 0.23%
3.13% 77% 0.21%
3.13% 77% 0.21%
3.12% 77% 0.21%
3.12% 77% 0.21%
3.12% 77% 0.21%
3.12% 77% 0.28%
3.12% 77% 0.28%
3.12% 77% 0.28%
3.12% 77% 0.28%
3.12% 77% 0.25%
3.12% 77% 0.25%
3.13% 77% 0.25%
3.12% 77% 0.25%
3.12% 77% 0.23%
3.12% 77% 0.23%
3.12% 77% 0.23%
3.12% 77% 0.23%
3.12% 77% 0.23%
3.12% 77% 0.21%
3.12% 77% 0.21%
3.12% 77% 0.21%
3.12% 77% 0.21%
3.12% 77% 0.20%
3.12% 77% 0.20%
3.13% 77% 0.20%
3.13% 77% 0.20%
3.12% 77% 0.18%
3.12% 77% 0.18%
3.12% 77% 0.18%
3.13% 77% 0.18%
3.13% 77% 0.18%
3.14% 77% 0.17%
3.14% 77% 0.17%
3.13% 77% 0.17%
3.14% 77% 0.17%
3.13% 77% 0.39%
3.09% 77% 0.39%
3.08% 77% 0.39%
3.08% 77% 0.39%
3.08% 77% 0.36%
3.09% 77% 0.36%
3.09% 77% 0.36%
3.09% 77% 0.36%
3.09% 77% 0.33%
3.08% 77% 0.33%
3.09% 77% 0.33%
3.09% 77% 0.33%
3.09% 77% 0.33%
3.09% 77% 0.31%
3.09% 77% 0.31%
3.09% 77% 0.31%
3.09% 77% 0.31%
3.09% 77% 0.28%
3.09% 77% 0.28%
3.09% 77% 0.28%
3.09% 77% 0.28%
3.09% 77% 0.34%
3.09% 77% 0.34%
3.09% 77% 0.34%
3.10% 77% 0.34%
3.10% 77% 0.34%
3.10% 77% 0.31%
3.10% 77% 0.31%
3.10% 77% 0.31%
3.10% 77% 0.31%
3.10% 77% 0.29%
3.10% 77% 0.29%
3.10% 77% 0.29%
3.11% 77% 0.29%
3.10% 77% 0.26%
3.10% 77% 0.26%
3.11% 77% 0.26%
3.11% 77% 0.26%
3.12% 77% 0.24%
3.12% 77% 0.24%
3.11% 77% 0.24%
3.12% 77% 0.24%
3.12% 77% 0.24%
3.11% 77% 0.22%
3.11% 77% 0.22%
3.12% 77% 0.22%
3.13% 77% 0.22%
3.13% 77% 0.20%
3.13% 77% 0.20%
3.13% 77% 0.20%
3.12% 77% 0.20%
3.13% 77% 0.19%
3.13% 77% 0.19%
3.13% 77% 0.19%
3.13% 77% 0.19%
3.13% 77% 0.19%
3.13% 77% 0.17%
3.13% 77% 0.17%
3.12% 77% 0.17%
3.13% 77% 0.17%
3.13% 77% 0.16%
3.12% 77% 0.16%
3.12% 77% 0.16%
3.13% 77% 0.16%
3.13% 77% 0.23%
3.13% 77% 0.23%
3.13% 77% 0.23%
3.13% 77% 0.23%
3.13% 77% 0.21%
3.13% 77% 0.21%
3.13% 77% 0.21%
3.13% 77% 0.21%
3.13% 77% 0.21%
3.12% 77% 0.19%
3.13% 77% 0.19%
3.12% 77% 0.19%
3.13% 77% 0.19%
3.13% 77% 0.17%
3.13% 77% 0.17%
3.13% 77% 0.17%
3.13% 77% 0.17%
3.13% 77% 0.16%
3.13% 77% 0.16%
3.13% 77% 0.16%
3.13% 77% 0.16%
3.12% 77% 0.16%
3.13% 77% 0.23%
3.12% 77% 0.23%
3.14% 77% 0.23%
3.12% 77% 0.23%
3.12% 77% 0.21%
3.12% 77% 0.21%
3.12% 77% 0.21%
3.13% 77% 0.21%
3.12% 77% 0.19%
3.13% 77% 0.19%
3.12% 77% 0.19%
3.12% 77% 0.19%
3.13% 77% 0.19%
3.12% 77% 0.18%
3.12% 77% 0.18%
3.13% 77% 0.18%
3.13% 77% 0.18%
3.13% 77% 0.32%
3.12% 77% 0.32%
3.13% 77% 0.32%
3.12% 77% 0.32%
3.12% 77% 0.38%
3.13% 77% 0.38%
3.13% 77% 0.38%
3.13% 77% 0.38%
3.12% 77% 0.43%
3.13% 77% 0.43%
3.13% 77% 0.43%
3.14% 77% 0.43%
3.12% 77% 0.43%
3.12% 77% 0.47%
3.13% 77% 0.47%
3.12% 77% 0.47%
3.13% 77% 0.47%
3.13% 77% 0.52%
3.13% 77% 0.52%
3.13% 77% 0.52%
3.13% 77% 0.52%
3.13% 77% 0.47%
3.13% 77% 0.47%
3.14% 77% 0.47%
3.13% 77% 0.47%
3.13% 77% 0.47%
3.13% 77% 0.44%
3.13% 77% 0.44%
3.14% 77% 0.44%
3.13% 77% 0.44%
3.13% 77% 0.40%
3.14% 77% 0.40%
3.13% 77% 0.40%
3.13% 77% 0.40%
3.12% 77% 0.37%
3.12% 77% 0.37%
3.14% 77% 0.37%
3.14% 77% 0.37%
3.14% 77% 0.34%
3.14% 77% 0.34%
3.14% 77% 0.34%
3.14% 77% 0.34%
3.14% 77% 0.34%
3.13% 77% 0.31%
3.14% 77% 0.31%
3.13% 77% 0.31%
3.13% 77% 0.31%
3.14% 77% 0.29%
3.13% 77% 0.29%
3.13% 77% 0.29%
3.14% 77% 0.29%
3.14% 77% 0.26%
3.13% 77% 0.26%
3.14% 77% 0.26%
3.14% 77% 0.26%
3.14% 77% 0.26%
3.14% 77% 0.24%
3.14% 77% 0.24%
3.14% 77% 0.24%
3.14% 77% 0.24%
3.14% 77% 0.46%
3.14% 77% 0.46%
3.14% 77% 0.46%
3.14% 77% 0.46%
3.13% 77% 0.43%
3.14% 77% 0.43%
3.13% 77% 0.43%
3.13% 77% 0.43%
3.13% 77% 0.39%
3.12% 77% 0.39%
3.31% 77% 0.39%
3.32% 77% 0.39%
3.32% 77% 0.39%
3.32% 77% 0.36%
3.32% 77% 0.36%
3.32% 77% 0.36%
3.32% 77% 0.36%
3.32% 77% 0.33%
3.32% 77% 0.33%
3.32% 77% 0.33%
3.32% 77% 0.33%
3.32% 77% 0.30%
3.32% 77% 0.30%
3.32% 77% 0.30%
3.32% 77% 0.30%
3.32% 77% 0.30%
3.32% 77% 0.28%
3.32% 77% 0.28%
3.31% 77% 0.28%
3.32% 77% 0.28%
3.31% 77% 0.34%
3.32% 77% 0.34%
3.32% 77% 0.34%
3.32% 77% 0.34%
3.32% 77% 0.31%
3.31% 77% 0.31%
3.31% 77% 0.31%
3.31% 77% 0.31%
3.32% 77% 0.31%
3.32% 77% 0.29%
3.31% 77% 0.29%
3.31% 77% 0.29%
3.31% 77% 0.29%
3.31% 77% 0.26%
3.32% 77% 0.26%
3.32% 77% 0.26%
3.32% 77% 0.26%
3.32% 77% 0.24%
3.32% 77% 0.24%
3.31% 77% 0.24%
3.32% 77% 0.24%
3.31% 77% 0.22%
3.32% 77% 0.22%
3.32% 77% 0.22%
3.31% 77% 0.22%
3.31% 77% 0.22%
3.32% 77% 0.20%
3.32% 77% 0.20%
3.32% 77% 0.20%
3.32% 77% 0.20%
3.32% 77% 0.19%
3.31% 77% 0.19%
3.32% 77% 0.19%
3.32% 77% 0.19%
3.32% 77% 0.17%
3.32% 77% 0.17%
3.32% 77% 0.17%
3.32% 77% 0.17%
3.32% 77% 0.17%
3.32% 77% 0.16%
3.32% 77% 0.16%
3.32% 77% 0.16%
3.32% 77% 0.16%
3.32% 77% 0.14%
3.32% 77% 0.14%
3.32% 77% 0.14%
3.32% 77% 0.14%
3.32% 77% 0.13%
3.32% 77% 0.13%
3.32% 77% 0.13%
3.32% 77% 0.13%
3.32% 77% 0.13%
3.32% 77% 0.20%
3.32% 77% 0.20%
3.31% 77% 0.20%
3.32% 77% 0.20%
3.31% 77% 0.19%
3.32% 77% 0.19%
